"","c","atu","temperature_difference","flow","lunar_phase","hatchery","logLik","AICc","num.param","num.iter","converged","deltaAICc","rel.LL","weights","cumulative_weights"
"function17"," atu_april temp_diff chinook0_hatchery_perhour_interpolate",1,1,0,0,1,-1086.39037939619,2213.64141453009,20,69,TRUE,0,1,0.464024640284306,0.464024640284306
"function27"," atu_april temp_diff lunar_phase chinook0_hatchery_perhour_interpolate",1,1,0,1,1,-1086.05526747975,2215.0582272672,21,72,TRUE,1.41681273711174,0.492428321749973,0.228498874865836,0.692523515150143
"function26"," atu_april temp_diff flow chinook0_hatchery_perhour_interpolate",1,1,1,0,1,-1086.39003229419,2215.72775689608,21,68,TRUE,2.08634236599119,0.352335587845589,0.163492394409409,0.856015909559552
"function30"," atu_april temp_diff flow lunar_phase chinook0_hatchery_perhour_interpolate",1,1,1,1,1,-1086.05447002747,2217.14795442865,22,80,TRUE,3.50653989856619,0.173206639501704,0.0803721485896316,0.936388058149183
"function5"," atu_april temp_diff",1,1,0,0,0,-1090.16008397621,2219.09805945703,19,63,TRUE,5.45664492694868,0.0653287892277999,0.0303141679216391,0.966702226070822
"function15"," atu_april temp_diff flow",1,1,1,0,0,-1089.95676975351,2220.77419524472,20,73,TRUE,7.13278071463719,0.0282576699010125,0.01311225511109,0.979814481181912
"function16"," atu_april temp_diff lunar_phase",1,1,0,1,0,-1090.02106937613,2220.90279448997,20,73,TRUE,7.26137995988483,0.0264978950838619,0.0122956762345803,0.992110157416493
"function25"," atu_april temp_diff flow lunar_phase",1,1,1,1,0,-1089.80373277544,2222.55515785858,21,84,TRUE,8.91374332849318,0.0115985908784236,0.00538203196016534,0.997492189376658
"function22"," temp_diff flow chinook0_hatchery_perhour_interpolate",0,1,1,0,1,-1092.47829857648,2225.81725289066,20,70,TRUE,12.1758383605797,0.0022701277301351,0.00105339520337537,0.998545584580034
"function29"," temp_diff flow lunar_phase chinook0_hatchery_perhour_interpolate",0,1,1,1,1,-1092.14981451946,2227.24732134661,21,85,TRUE,13.6059068165264,0.00111049056786017,0.000515294986290428,0.999060879566324
"function11"," temp_diff chinook0_hatchery_perhour_interpolate",0,1,0,0,1,-1094.50896179801,2227.79581510063,19,57,TRUE,14.1544005705441,0.000844133175219034,0.000391698592983062,0.999452578159307
"function9"," temp_diff flow",0,1,1,0,0,-1095.0573036661,2228.89249883681,19,68,TRUE,15.2510843067266,0.000487830692765543,0.000226365461730175,0.999678943621037
"function23"," temp_diff lunar_phase chinook0_hatchery_perhour_interpolate",0,1,0,1,1,-1094.21606102121,2229.29277778013,20,64,TRUE,15.6513632500446,0.000399346289088747,0.000185306518143278,0.99986425013918
"function21"," temp_diff flow lunar_phase",0,1,1,1,0,-1094.88495017942,2230.63055609655,20,73,TRUE,16.9891415664647,0.000204576047082683,9.49283266583273e-05,0.999959178465839
"function1"," temp_diff",0,1,0,0,0,-1098.14488006678,2232.98914663664,18,52,TRUE,19.3477321065507,6.29061859519635e-05,2.91900203080175e-05,0.999988368486147
"function10"," temp_diff lunar_phase",0,1,0,1,0,-1098.02665972134,2234.83121094729,19,56,TRUE,21.1897964172035,2.50434508281526e-05,1.16207782620112e-05,0.999999989264409
"function19"," atu_april flow chinook0_hatchery_perhour_interpolate",1,0,1,0,1,-1105.38097417055,2251.62260407881,20,64,TRUE,37.9811895487278,5.65574058778664e-09,2.62440299178905e-09,0.999999991888812
"function8"," atu_april chinook0_hatchery_perhour_interpolate",1,0,0,0,1,-1106.61212564298,2252.00214279058,19,57,TRUE,38.3607282604908,4.67814520053904e-09,2.17077464387788e-09,0.999999994059586
"function6"," atu_april flow",1,0,1,0,0,-1106.87858427294,2252.53506005049,19,66,TRUE,38.893645520403,3.58386947894665e-09,1.66300374579413e-09,0.99999999572259
"function28"," atu_april flow lunar_phase chinook0_hatchery_perhour_interpolate",1,0,1,1,1,-1105.02292497948,2252.99354226664,21,83,TRUE,39.352127736558,2.84966649651709e-09,1.32231547097658e-09,0.999999997044906
"function20"," atu_april lunar_phase chinook0_hatchery_perhour_interpolate",1,0,0,1,1,-1106.27170719893,2253.40407013557,20,56,TRUE,39.7626556054811,2.32086052813708e-09,1.07693647171885e-09,0.999999998121842
"function18"," atu_april flow lunar_phase",1,0,1,1,0,-1106.65261289295,2254.16588152361,20,71,TRUE,40.5244669935296,1.585710132605e-09,7.35808573877216e-10,0.999999998857651
"function"," atu_april",1,0,0,0,0,-1108.78877450232,2254.27693550772,18,51,TRUE,40.6355209776325,1.50006036124746e-09,6.96064969532599e-10,0.999999999553716
"function7"," atu_april lunar_phase",1,0,0,1,0,-1108.60556155716,2255.98901461893,19,69,TRUE,42.3476000888468,6.37287616861852e-10,2.95717157171964e-10,0.999999999849433
"function2"," flow",0,0,1,0,0,-1111.39102150261,2259.48142950829,18,53,TRUE,45.8400149782033,1.11164782423126e-10,5.15831981761742e-11,0.999999999901016
"function13"," flow chinook0_hatchery_perhour_interpolate",0,0,1,0,1,-1110.37689337944,2259.53167826349,19,67,TRUE,45.8902637334086,1.08406629970452e-10,5.03033474764729e-11,0.999999999951319
"function24"," flow lunar_phase chinook0_hatchery_perhour_interpolate",0,0,1,1,1,-1110.02974098139,2260.92013770048,20,71,TRUE,47.2787231703933,5.41446695893522e-11,2.51244608295118e-11,0.999999999976444
"function12"," flow lunar_phase",0,0,1,1,0,-1111.15163581014,2261.08116312488,19,57,TRUE,47.4397485947925,4.99562098421906e-11,2.31809123019898e-11,0.999999999999625
"function4"," chinook0_hatchery_perhour_interpolate",0,0,0,0,1,-1116.9733188584,2270.64602421987,18,45,TRUE,57.0046096897868,4.18414074069044e-13,1.94154440209779e-13,0.999999999999819
"function14"," lunar_phase chinook0_hatchery_perhour_interpolate",0,0,0,1,1,-1116.68660638618,2272.15110427696,19,52,TRUE,58.5096897468793,1.97143427354772e-13,9.14794079627135e-14,0.99999999999991
"function31","None",0,0,0,0,0,-1119.12816909311,2272.88146586752,17,38,TRUE,59.2400513374369,1.36831566274682e-13,6.34932183201477e-14,0.999999999999974
"function3"," lunar_phase",0,0,0,1,0,-1118.97963548174,2274.65865746654,18,55,TRUE,61.0172429364529,5.62696282387884e-14,2.61104940024354e-14,1
