"","c","photoperiod_difference","temperature_difference","flow","lunar_phase","hatchery","logLik","AICc","num.param","num.iter","converged","deltaAICc","rel.LL","weights","cumulative_weights"
"function2"," flow",0,0,1,0,0,-726.608728623791,1490.48412391425,18,75,TRUE,0,1,0.211429990993449,0.211429990993449
"function12"," flow lunar_phase",0,0,1,1,0,-726.10056752082,1491.61115359452,19,75,TRUE,1.12702968026724,0.569204879563516,0.120346982559541,0.33177697355299
"function9"," temp_diff flow",0,1,1,0,0,-726.229285672122,1491.86858989712,19,87,TRUE,1.38446598287237,0.500457303561002,0.105811683184508,0.437588656737498
"function6"," photo_diff flow",1,0,1,0,0,-726.369118362171,1492.14825527722,19,65,TRUE,1.6641313629691,0.435149477064051,0.0920036500164563,0.529592306753954
"function13"," flow coho1_hatchery_perhour_interpolate",0,0,1,0,1,-726.600242684281,1492.61050392144,19,63,TRUE,2.12638000719039,0.345352375965047,0.0730178497398561,0.60261015649381
"function21"," temp_diff flow lunar_phase",0,1,1,1,0,-725.7146806325,1492.99069955496,20,95,TRUE,2.50657564071412,0.285564367385415,0.0603768716243482,0.662987028118159
"function15"," photo_diff temp_diff flow",1,1,1,0,0,-725.785199943786,1493.13173817753,20,78,TRUE,2.64761426328641,0.266120216213338,0.0562657949171608,0.719252823035319
"function18"," photo_diff flow lunar_phase",1,0,1,1,0,-725.844376510556,1493.25009131107,20,88,TRUE,2.76596739682668,0.250829037250771,0.0530327810868259,0.772285604122145
"function24"," flow lunar_phase coho1_hatchery_perhour_interpolate",0,0,1,1,1,-726.088896842924,1493.73913197581,20,80,TRUE,3.25500806156242,0.196419219128205,0.0415289137312165,0.813814517853362
"function19"," photo_diff flow coho1_hatchery_perhour_interpolate",1,0,1,0,1,-726.192957624453,1493.94725353887,20,80,TRUE,3.46312962462139,0.177007210082125,0.0374246328334391,0.851239150686801
"function22"," temp_diff flow coho1_hatchery_perhour_interpolate",0,1,1,0,1,-726.229258960664,1494.01985621129,20,84,TRUE,3.53573229704261,0.170696842191945,0.0360904318072531,0.887329582494054
"function25"," photo_diff temp_diff flow lunar_phase",1,1,1,1,0,-725.242650777964,1494.20597194699,21,104,TRUE,3.72184803274081,0.155528852745782,0.032883463935262,0.920213046429316
"function26"," photo_diff temp_diff flow coho1_hatchery_perhour_interpolate",1,1,1,0,1,-725.607440243176,1494.93555087741,21,95,TRUE,4.45142696316589,0.107990342021559,0.0228323970409976,0.943045443470314
"function28"," photo_diff flow lunar_phase coho1_hatchery_perhour_interpolate",1,0,1,1,1,-725.639981648651,1495.00063368836,21,82,TRUE,4.51650977411487,0.104532747124228,0.022101357782996,0.96514680125331
"function29"," temp_diff flow lunar_phase coho1_hatchery_perhour_interpolate",0,1,1,1,1,-725.714299958179,1495.14927030742,21,80,TRUE,4.66514639317074,0.0970457078433842,0.0205183731352796,0.985665174388589
"function30"," photo_diff temp_diff flow lunar_phase coho1_hatchery_perhour_interpolate",1,1,1,1,1,-725.035831454497,1495.95972261049,22,92,TRUE,5.47559869623774,0.0647126002161361,0.0136821844808603,0.99934735886945
"function31","None",0,0,0,0,0,-734.951876420288,1505.0349912879,17,68,TRUE,14.5508673736483,0.000692339796940505,0.000146381397031537,0.999493740266481
"function4"," coho1_hatchery_perhour_interpolate",0,0,0,0,1,-734.602671327409,1506.47200932149,18,56,TRUE,15.9878854072369,0.000337500791112138,7.13577892251211e-05,0.999565098055706
"function3"," lunar_phase",0,0,0,1,0,-734.730531379442,1506.72772942555,18,68,TRUE,16.2436055113026,0.000296992772150506,6.27931791409008e-05,0.999627891234847
"function"," photo_diff",1,0,0,0,0,-734.781658888513,1506.82998444369,18,52,TRUE,16.3458605294443,0.000282189912609263,5.96634106814186e-05,0.999687554645528
"function1"," temp_diff",0,1,0,0,0,-734.792090949916,1506.8508485665,18,56,TRUE,16.3667246522505,0.000279261391926066,5.90442335797461e-05,0.999746598879108
"function8"," photo_diff coho1_hatchery_perhour_interpolate",1,0,0,0,1,-733.911863685744,1507.23374592436,19,74,TRUE,16.7496220101166,0.000230603446359131,4.87564845867693e-05,0.999795355363695
"function14"," lunar_phase coho1_hatchery_perhour_interpolate",0,0,0,1,1,-734.36015275131,1508.1303240555,19,64,TRUE,17.6462001412485,0.000147291039110837,3.11417430726199e-05,0.999826497106768
"function11"," temp_diff coho1_hatchery_perhour_interpolate",0,1,0,0,1,-734.419521580722,1508.24906171432,19,62,TRUE,17.7649378000715,0.000138801056252007,2.93467060732431e-05,0.999855843812841
"function7"," photo_diff lunar_phase",1,0,0,1,0,-734.553958843843,1508.51793624056,19,62,TRUE,18.0338123263143,0.000121340955227788,2.56551170709477e-05,0.999881498929912
"function10"," temp_diff lunar_phase",0,1,0,1,0,-734.563602171643,1508.53722289616,19,76,TRUE,18.053098981914,0.000120176448505315,2.54089054251034e-05,0.999906907835337
"function5"," photo_diff temp_diff",1,1,0,0,0,-734.676719276364,1508.7634571056,19,73,TRUE,18.279333191356,0.00010732310553467,2.26913232365841e-05,0.999929599158573
"function20"," photo_diff lunar_phase coho1_hatchery_perhour_interpolate",1,0,0,1,1,-733.631910716462,1508.82515972289,20,67,TRUE,18.3410358086392,0.000104062601301764,2.20019548559868e-05,0.99995160111343
"function17"," photo_diff temp_diff coho1_hatchery_perhour_interpolate",1,1,0,0,1,-733.846387450105,1509.25411319017,20,69,TRUE,18.7699892759244,8.39747299791319e-05,1.77547764031652e-05,0.999969355889833
"function23"," temp_diff lunar_phase coho1_hatchery_perhour_interpolate",0,1,0,1,1,-734.16783857477,1509.8970154395,20,85,TRUE,19.4128915252541,6.08897465591012e-05,1.28739185665841e-05,0.999982229808399
"function16"," photo_diff temp_diff lunar_phase",1,1,0,1,0,-734.444195522386,1510.44972933474,20,67,TRUE,19.9656054204875,4.61874376012895e-05,9.76540951605112e-06,0.999991995217915
"function27"," photo_diff temp_diff lunar_phase coho1_hatchery_perhour_interpolate",1,1,0,1,1,-733.563336848741,1510.84734408854,21,85,TRUE,20.3632201742944,3.78602016063962e-05,8.00478208465049e-06,1
