"river","species","origin","total","max"
"Dungeness","Chinook","hatchery",62146,3274
"Dungeness","Chinook","wild",42836,355
"Dungeness","Coho","hatchery",58857,1983
"Dungeness","Coho","wild",15414,348
"Puyallup","Chinook","hatchery",153030,7429
"Puyallup","Chinook","wild",15360,342
"Puyallup","Coho","hatchery",81903,3921
"Puyallup","Coho","wild",1975,126
"Skagit","Chinook","hatchery",51332,2912
"Skagit","Chinook","wild",47285,982
"Skagit","Coho","hatchery",29207,3364
"Skagit","Coho","wild",83347,976
